Date,Close,High,Low,Open,Volume
2020-01-02,118.43031311035156,118.43871526293431,116.89421774236182,117.3390963518269,10803700
2020-01-03,116.86748504638672,117.6193427384094,115.80306121319158,116.15786915758996,10386800
2020-01-06,116.7745361328125,116.80833472515138,115.31306282861509,115.36374782673732,10259000
2020-01-07,114.78931427001953,116.46198385829187,114.73862926588819,115.97200733437622,10531300
2020-01-08,115.68478393554688,116.22544546461353,114.55277587318666,114.63724658343565,9695300
2020-01-09,116.107177734375,116.77455178307011,115.76925621762801,116.62249676832482,9469000
2020-01-10,114.94982147216797,115.94666089392479,114.73016927454297,115.91287518911405,10190900
2020-01-13,115.9044189453125,115.9044189453125,114.68792732750302,115.05119132828173,12355200
2020-01-14,117.25608825683594,118.9118586169676,116.31837696958193,116.52957308932032,24906000
2020-01-15,115.49893188476562,117.08713078737144,115.01739855733767,116.45354244521118,16293400
2020-01-16,115.9466781616211,116.49578295668624,115.60031340638844,116.11563249161121,10783800
2020-01-17,116.74919891357422,116.8252264141958,116.00579742351869,116.19163812824256,14697700
2020-01-21,115.60029602050781,116.63939012992965,115.47358351466961,115.89597572131315,8474200
2020-01-22,115.46511840820312,116.07336416952491,115.21169341630751,115.93820847064264,7549100
2020-01-23,115.34685516357422,115.51582235421289,113.80935427377966,114.64569546204845,9345700
2020-01-24,112.48304748535156,115.2539395270769,111.78188771591935,115.20325452113126,15166400
2020-01-27,111.53688049316406,112.3056373715058,109.57698743749968,110.05006462712949,12860500
2020-01-28,113.56436157226562,114.0205523703677,111.91703455775715,112.22115745969619,13062800
2020-01-29,113.3954086303711,114.50207415364989,112.93923071717964,113.88538513884323,9326000
2020-01-30,114.7977523803711,115.00050527828799,112.09444486008103,112.09444486008103,9048900
2020-01-31,111.81565856933594,113.90227697282953,111.06380100344782,113.61505338370068,12785200
2020-02-03,112.66891479492188,113.40388614162899,112.06912496448038,112.06912496448038,10021100
2020-02-04,114.29087829589844,115.39755671195032,114.11348078664767,114.51053049453476,9157100
2020-02-05,116.23388671875,116.3521560234248,114.89912577148444,115.37221588057106,10150700
2020-02-06,116.25076293945312,116.82521005087088,115.82837080798072,116.78298115003153,8992300
2020-02-07,115.87907409667969,116.30146629484084,115.14411579680313,115.50736689983599,6379800
2020-02-10,116.36060333251953,116.45353012849014,115.52426216878409,115.6932164640798,5960700
2020-02-11,116.58024597167969,117.27297535976665,116.39439237440693,116.7998852728262,6578600
2020-02-12,116.58024597167969,117.67001216442736,116.41129167153723,117.0871217624939,7958000
2020-02-13,116.4788589477539,116.86745249225484,115.22856895056282,116.36903286803694,7447500
2020-02-14,116.12406921386719,116.74075821612388,115.68477771686867,116.44507852017765,6627600
2020-02-18,114.5865478515625,116.33525763021927,114.08812818252562,116.02267865762126,8996400
2020-02-19,116.1494140625,116.90971488117793,115.17790424931462,115.65943755409461,7071200
2020-02-20,116.1494140625,116.88437237991448,115.33841535090795,115.87907686184025,7422800
2020-02-21,114.73015594482422,115.66786705161914,113.97829841886329,115.35530097948273,9772800
2020-02-24,111.64671325683594,112.52528339143403,110.4978059175077,111.03846743658055,13618400
2020-02-25,106.66248321533203,111.70584081437227,106.09647275271149,110.66675958180575,20797200
2020-02-26,106.98350524902344,108.9349553210869,106.73006732879965,107.2284935198547,24825600
2020-02-27,102.53147888183594,106.12181236940829,102.47234423514247,103.83244755428532,23005500
2020-02-28,98.08790588378906,100.0984902035701,95.17340261809561,99.27904839887333,45931400
2020-03-02,102.658203125,102.70889457453276,96.69402699388195,98.52720769633696,27355400
2020-03-03,98.8060073852539,103.86626540336327,98.19776143375724,102.19359548194252,32547700
2020-03-04,101.24742126464844,101.53465134679821,96.89677979078282,99.96335165763358,25795900
2020-03-05,96.28009796142578,98.35826721913585,95.10584793099441,97.71622914470026,25025600
2020-03-06,91.30430603027344,93.1966214169855,88.71926119862144,89.76679857009603,38159400
2020-03-09,78.93665313720703,83.8279553845469,78.56494595410214,81.58082587969382,40352000
2020-03-10,85.0698013305664,85.55977791482138,79.89972402628635,83.63367017830963,31102700
2020-03-11,81.06550598144531,84.52067734698714,79.87436339167475,82.53542895538097,38127000
2020-03-12,74.38327026367188,81.91029604423989,72.92179039092039,75.68423259003684,49725200
2020-03-13,87.78155517578125,87.84913303334352,77.72016929604575,81.09085744238303,38543300
2020-03-16,74.64515686035156,79.3928479386275,71.4265300672971,71.97563482087564,38589700
2020-03-17,79.20697784423828,82.31578432885561,73.9186263168049,76.7824445807777,35239800
2020-03-18,70.86896514892578,76.69797899113337,67.8868771493327,74.06224925551773,41525600
2020-03-19,72.06011962890625,74.43396198511736,64.97237826812727,68.90062099340632,32175100
2020-03-20,70.53948974609375,75.57440345035587,69.6778125874754,72.90488838751293,30150800
2020-03-23,66.76331329345703,70.75069688336863,65.96921385702049,69.84677778995007,32536600
2020-03-24,74.70427703857422,76.11506529410134,70.03262082002966,71.72218944562655,34363200
2020-03-25,77.49208068847656,80.3812419701034,71.41807841059828,75.3885627605397,38111700
2020-03-26,82.89024353027344,83.27039391331013,79.021129623645,79.47731395040493,29826300
2020-03-27,76.98519897460938,80.11934828133542,76.49522892781172,78.72545919699249,30041500
2020-03-30,78.98735809326172,79.48577790090536,75.43926544148191,76.57972333346865,21656900
2020-03-31,76.05594635009766,79.55335361143094,75.4730429914774,77.7624146235215,23379300
2020-04-01,71.26603698730469,73.12456072783377,70.3283254654826,71.89117585345419,28029600
2020-04-02,73.92707824707031,74.26499326684787,70.08330698183745,70.5479409396807,24018000
2020-04-03,71.74197387695312,74.66969527323113,70.6494077496429,73.40641914811846,21199400
2020-04-06,76.35974884033203,77.66569925066914,74.8574760652775,75.9585731692519,26820800
2020-04-07,77.36695098876953,80.6617047404095,77.14502278194945,80.61902398488562,22563800
2020-04-08,80.49099731445312,80.96899053318218,77.29013591295848,78.61315471827474,22903300
2020-04-09,87.71211242675781,89.1034174031587,82.70169660201884,82.72730244327666,42055900
2020-04-13,83.81134033203125,88.01086809165741,83.0516698983164,88.01086809165741,26911900
2020-04-14,81.5152587890625,87.06341776423429,79.92763123827065,86.2269232380082,46151300
2020-04-15,77.4949722290039,78.55338834364026,76.93161762001128,77.8022553771512,30118600
2020-04-16,74.54165649414062,77.30719872177143,74.3026599020473,77.01699043484916,32449600
2020-04-17,81.24211120605469,81.68596101659602,77.6400749866515,78.5277811199018,30191900
2020-04-20,78.2802734375,80.84096281332468,77.21331953090639,78.92898323611648,23679400
2020-04-21,76.00978088378906,77.99857754475887,75.39521453739718,75.64274856648103,23035000
2020-04-22,76.25731658935547,78.41683648625582,76.12074989336377,77.40963186866213,16662400
2020-04-23,76.29998016357422,77.91321337672986,76.18901934105676,76.5987258489424,16638800
2020-04-24,77.42667388916016,77.75956283044611,75.53176360050664,77.3669247589849,15809200
2020-04-27,80.76415252685547,81.62624667221134,78.13517630147399,78.47660288474711,22870200
2020-04-28,81.33601379394531,83.95645177407489,81.11408560488334,83.48698954955312,20238900
2020-04-29,83.52967071533203,84.88683267848594,83.02606518906296,84.57101855512406,20462600
2020-04-30,81.73717498779297,82.65901785618927,80.70436478837473,81.60060181489438,19127600
2020-05-01,79.5947265625,80.01297048725007,78.39119995726976,79.80811725033512,18547700
2020-05-04,78.64730834960938,79.09969577848275,77.50353685111214,78.54487842692916,15725900
