Date,Close,High,Low,Open,Volume
2020-01-02,151.82955932617188,151.93353980620552,149.6648931447306,150.0902625907942,22622100
2020-01-03,149.93899536132812,151.19620847768044,149.4096455068012,149.6554253847614,21116200
2020-01-06,150.32656860351562,150.3927445508696,147.94447970171677,148.48329153461876,20813700
2020-01-07,148.9559326171875,150.93154722601824,148.71016714066076,150.60071074881336,21634100
2020-01-08,151.3285675048828,151.99971686703032,149.30568631614628,150.23204869357042,27746500
2020-01-09,153.2191162109375,153.34200617143892,152.21713032172246,152.9827982399451,21385000
2020-01-10,152.51014709472656,154.28726267501992,152.35890014667973,153.90915972860566,20725900
2020-01-13,154.34397888183594,154.3723358820374,152.43452580062083,152.9071617022491,21626500
2020-01-14,153.25685119628906,154.64640125830564,152.86928647451379,154.44788792500484,23477400
2020-01-15,154.24948120117188,154.9678971670826,153.67287911610023,153.7201311781048,21417900
2020-01-16,157.07586669921875,157.14204267110372,155.0529849361518,155.35547893841238,23865400
2020-01-17,157.95492553710938,158.30467149192543,156.37630891838617,158.25740501659007,34371700
2020-01-21,157.38772583007812,158.98523718683614,157.32154989283947,157.55786779949122,29517200
2020-01-22,156.63156127929688,158.32360616920698,156.61265180141203,158.2385207305779,24138800
2020-01-23,157.59573364257812,157.6713571260564,156.22509226083278,157.09474068527607,19680800
2020-01-24,156.00762939453125,158.36136103516702,155.44992257333556,158.34245156321265,24918100
2020-01-27,153.39869689941406,154.4385015834786,151.4325299482661,152.3305352170298,32078100
2020-01-28,156.4046630859375,156.68823305925625,154.1454642817214,154.81659911684454,24899900
2020-01-29,158.84347534179688,159.51462470178666,156.6220951483202,158.6544238565207,34754500
2020-01-30,163.32406616210938,164.52456542873182,161.4429700217879,164.52456542873182,51597500
2020-01-31,160.91358947753906,162.96482723403622,160.29916867247016,162.78523773584587,36142700
2020-02-03,164.83648681640625,164.9499148069927,161.07429499333622,161.10265199098285,30107000
2020-02-04,170.26234436035156,170.75388971293165,166.6608612717509,167.44543856138947,36433300
2020-02-05,170.05442810058594,174.11910061090413,168.64598204289516,173.95840610073768,39186300
2020-02-06,173.58026123046875,173.75986517610264,170.20563405922817,171.06583483899962,27751400
2020-02-07,173.82598876953125,175.47076649707245,172.49315239154268,172.8429126812408,33529100
2020-02-10,178.37277221679688,178.50510968178952,173.22104418313037,173.53298558426346,35844300
2020-02-11,174.345947265625,180.26334402188803,173.45738939363605,180.21607754330697,53159900
2020-02-12,174.6011505126953,175.67875972595644,171.89767274276622,175.42353231595447,47062900
2020-02-13,173.65589904785156,176.03797374039397,172.86185972663358,173.06037316286404,35295800
2020-02-14,175.20616149902344,175.2628755081649,172.65391569801574,173.22108463684083,23149500
2020-02-18,176.9832305908203,177.42750947945905,175.3479144568941,175.4518949292075,27792200
2020-02-19,177.51409912109375,178.36716195102883,176.74633968153128,178.2534240971987,29997500
2020-02-20,174.80316162109375,177.48558908217993,171.6562951458951,177.20123010558348,36862400
2020-02-21,169.2771759033203,173.93114068656777,168.00705551331956,173.61834725384844,48572600
2020-02-24,161.9787139892578,165.44786191190894,154.7181513655058,159.0214151505909,68311100
2020-02-25,159.3057861328125,165.72274558384058,158.9076748317135,165.11611976454265,68073300
2020-02-26,161.29627990722656,164.2251446871033,159.43849455284118,160.8602752572203,56206100
2020-02-27,149.93148803710938,158.31999888346724,149.74192019388477,154.80346983288783,93174900
2020-02-28,153.56173706054688,155.17309954673496,144.07372893416303,144.46235233203646,97012700
2020-03-02,163.77960205078125,163.90282763558946,153.84610129007496,156.68966182739558,71030800
2020-03-03,155.93142700195312,165.87441879835387,153.79875590311715,164.73699710492832,71677000
2020-03-04,161.65643310546875,161.79860535911507,156.98350737328664,159.7038570188698,49814400
2020-03-05,157.59962463378906,161.95974258543,157.0498678014542,157.39109568141728,47817300
2020-03-06,153.14474487304688,154.60443335618072,147.86519228321035,154.1305064578371,72821100
2020-03-09,142.7657012939453,149.5239019334554,142.17803670376105,143.12589028178613,70419300
2020-03-10,152.5286102294922,152.63287471129829,144.6235141245197,149.91253931749316,65354400
2020-03-11,145.6187744140625,149.4765316073589,143.268086730117,148.9362624974482,56371600
2020-03-12,131.8085174560547,145.46709111192325,131.35355178409353,137.72312904394167,93226400
2020-03-13,150.547607421875,153.46699860222324,133.39144937999532,139.80842308587606,92727400
2020-03-16,128.35836791992188,141.56197970377613,127.96027103449792,132.6995403320719,87905900
2020-03-17,138.92689514160156,139.8083919587841,127.96022314871765,132.69949067274422,81059800
2020-03-18,133.0786590576172,138.38664577676045,127.97921578102556,130.80381587118453,81593200
2020-03-19,135.26820373535156,142.3202228977112,131.7516602526152,135.32507264150863,85922700
2020-03-20,130.187744140625,139.42932003407233,128.7754365666015,138.38667491726258,84866200
2020-03-23,128.88916015625,133.2398202414943,125.6095939935449,129.8654484471508,78975200
2020-03-24,140.60459899902344,141.79890378670194,133.90328159423055,136.25395446330393,82516700
2020-03-25,139.2586669921875,146.28226653788022,136.90799381312664,141.14490110421414,75638200
2020-03-26,147.9694366455078,148.4907590553709,140.63304405067825,140.66147850366175,64568100
2020-03-27,141.89370727539062,146.81307068348792,141.41978038772191,143.8368104074525,57042300
2020-03-30,151.87460327148438,152.22531899610644,142.1875367282903,144.4908288761412,63420300
2020-03-31,149.4860076904297,156.1873255730772,148.3959672991363,151.0878682333424,77927200
2020-04-01,144.17799377441406,149.52388683618224,142.955269145982,145.02158279515615,57969900
2020-04-02,147.1637725830078,147.372301571524,142.51929484918563,143.9410755182864,49630700
2020-04-03,145.80833435058594,149.17321783075897,144.25385488302902,147.01211258227983,41243300
2020-04-06,156.65174865722656,157.81760438772113,149.362753083422,151.95987682480546,67111700
2020-04-07,154.96461486816406,161.13513757689245,154.74659809212773,160.74651406806288,62769000
2020-04-08,156.51904296875,157.9787309006608,154.97403723539915,157.03087746191216,48318200
2020-04-09,156.52853393554688,158.64224329248236,154.81292133217562,157.68491641818002,51385100
2020-04-13,156.8792724609375,156.9361558362128,153.83666995479288,155.7797730783277,41905300
2020-04-14,164.6422119140625,164.68960749948852,159.23944782684356,160.18730168295573,52874300
2020-04-15,162.9171142578125,164.51898947901861,160.41478082759673,162.2725661589912,40940800
2020-04-16,167.80801391601562,168.0355040124014,163.883900147735,165.21090401533556,50479600
2020-04-17,169.28665161132812,170.6136408101682,166.6990009789437,170.13971403013997,52765600
2020-04-20,165.93124389648438,169.42882588907332,165.86490166729666,167.4193809458809,36669600
2020-04-21,159.06881713867188,164.6137526846759,157.4479809248554,164.4526192889561,56203700
2020-04-22,164.4716033935547,164.92656918992733,161.91240090219344,162.45267007355434,34620200
2020-04-23,162.4810791015625,165.93126598218663,161.99767892251862,165.0308078621168,32790800
2020-04-24,165.4477996826172,165.457273009091,161.8080464097116,163.0876397121847,34277600
2020-04-27,164.9739532470703,167.67532784131654,164.26306291230537,167.38149548370984,33194400
2020-04-28,160.9550018310547,166.50942396479073,160.55690509338584,166.4335939486019,34392700
2020-04-29,168.17767333984375,168.41463676243595,162.9170969287767,164.18721740272696,51286600
2020-04-30,169.8648681640625,170.99280191954153,167.0402537209176,170.613666224283,53875900
2020-05-01,165.46688842773438,169.32464688988225,164.93607801080014,166.63274485940252,39370500
2020-05-04,169.51414489746094,169.6658049540385,164.73696882006053,165.39099015883954,30372900
2020-05-05,171.33399963378906,174.0732957690794,170.51884501586025,171.2013007175261,36839200
2020-05-06,173.0211944580078,174.59463494769062,172.15865865064302,172.58518988955504,32139300
2020-05-07,174.0259246826172,174.926382699325,173.05910997240878,174.56619370740268,28316000
2020-05-08,175.04959106445312,175.35291115035147,173.79843186786684,175.33395002920838,30877800
2020-05-11,177.00221252441406,177.73204949041116,173.31506205621085,173.5994066075862,30892700
2020-05-12,172.9927978515625,177.28657455794107,172.7937566459724,177.0590988944095,32038200
