Date,Close,High,Low,Open,Volume
2020-01-02,207.95384216308594,207.96374966670473,204.47440252196083,204.95021983697868,12077100
2020-01-03,206.85348510742188,208.56842088449835,205.14845683304864,205.4062031629161,11188400
2020-01-06,210.74929809570312,210.9277239141144,204.7222233942496,204.90064921266088,17058900
2020-01-07,211.20529174804688,212.71206425110722,209.9066978321433,210.9673906495363,14912400
2020-01-08,213.3464813232422,214.35760631734092,210.7592011294325,211.14580552041744,13475000
2020-01-09,216.39968872070312,216.47899413112594,214.39726870391826,215.64629488466662,12642800
2020-01-10,216.16175842285156,217.96592235915483,215.52733030671448,217.291833977407,12119400
2020-01-13,219.9782257080078,220.03770097396455,217.30173285825006,217.68833721292663,14463400
2020-01-14,217.15306091308594,220.44416728003057,216.72681136156237,219.68086596283632,13288900
2020-01-15,219.224853515625,219.7502385844087,218.22365114653817,218.6895609435289,10036500
2020-01-16,219.83946228027344,220.69197645305633,218.47147055219048,220.6325011824369,10015300
2020-01-17,220.2062530517578,220.3549412394602,218.61026762459173,220.09721000545602,15905900
2020-01-21,219.51234436035156,220.4342413538847,217.21253293939026,220.22607789610095,14275800
2020-01-22,219.3933868408203,220.81093123768824,219.35372657567254,220.37475907681832,12212800
2020-01-23,217.84695434570312,219.5619053548799,217.36122954189034,218.82834170856364,11195000
2020-01-24,216.04281616210938,219.849385004895,214.22874465282248,218.87792022361282,11905800
2020-01-27,212.99952697753906,214.17917031016634,210.6501629417429,211.24494592278575,13810700
2020-01-28,215.89410400390625,216.83584623519565,211.66128578161968,214.25847351180462,13413800
2020-01-29,221.28677368164062,222.24833102028177,216.54838489734922,219.5123623266201,33181300
2020-01-30,207.70599365234375,209.5894476804152,202.9676058229398,204.7321093179417,48775500
2020-01-31,200.15234375,206.8733215207169,199.30973708992997,206.6155751830227,31359900
2020-02-03,202.41250610351562,203.35423322426226,200.73721531848193,201.6690349356694,15495600
2020-02-04,208.00340270996094,208.7667039889746,203.4137026585634,204.8213395474977,19628900
2020-02-05,208.28097534179688,210.8781631806116,206.89316851020735,210.66007708908182,12538200
2020-02-06,209.0145263671875,209.35156298788317,207.5176614545207,208.63782948172818,10567500
2020-02-07,210.4816436767578,210.967383613283,208.1025268892811,208.4693162805183,12242500
2020-02-10,211.20529174804688,211.93885542902783,208.82619000718108,209.67870423741732,11856400
2020-02-11,205.38638305664062,209.0244333528046,204.71229469095942,208.36026761626928,25030800
2020-02-12,208.92529296875,209.38129524606632,205.59454173422142,206.04063650858083,13813700
2020-02-13,211.2845916748047,212.46423501084925,207.35905726566108,207.69610902307352,15396600
2020-02-14,212.31553649902344,213.05900768129823,210.79885649725966,212.13711067573826,10741700
2020-02-18,215.90402221679688,216.0824480300486,211.54231578381527,211.6910190874841,15609200
2020-02-19,215.5967254638672,216.41950201628228,214.228733710941,216.09237289597561,12135100
2020-02-20,212.71206665039062,216.86559480295082,211.09625108363406,214.63518122349623,13109200
2020-02-21,208.350341796875,212.3750115450859,207.01210284110857,211.62161778756874,14092300
2020-02-24,198.97271728515625,201.87720413639323,196.44491221736035,200.0433176124331,23080100
2020-02-25,195.0570831298828,201.7284929361897,194.24421412884456,200.48937442921064,21433500
2020-02-26,195.4833526611328,199.4584549193443,193.78824684047552,195.47344515740704,16524500
2020-02-27,188.0981903076172,194.1748323367813,187.85036660497212,190.15017782597852,21682600
2020-02-28,190.7945098876953,191.0621637168897,180.2372263998823,181.1095555314714,32568900
2020-03-02,194.72998046875,194.85885365128047,187.2060555030283,192.34095603269014,24949000
2020-03-03,184.27182006835938,195.52302394887474,182.36853555450094,194.51189885133846,27984100
2020-03-04,190.09071350097656,190.16011140769461,184.7674644784254,187.52326321969804,23062500
2020-03-05,183.5580596923828,187.34481315880845,182.28920353501553,185.15404495490924,19333400
2020-03-06,179.51361083984375,182.18019685337381,174.72565409684466,176.77764204068495,24559600
2020-03-09,168.02447509765625,173.47659670849464,163.75199676458902,168.12361063187322,29949000
2020-03-10,176.63882446289062,176.73794486823076,168.02447015120921,173.14946249940837,24517800
2020-03-11,168.75802612304688,174.3489279887689,166.2004838159884,172.49519649384075,20373900
2020-03-12,153.1253204345703,165.14973209945882,152.99644726061157,158.15117758148926,43266300
2020-03-13,168.79769897460938,169.303253942079,156.2280865595839,162.10645821675976,35028600
2020-03-16,144.73895263671875,157.74475108781604,141.85429617806886,150.9940357178259,39120400
2020-03-17,148.11924743652344,152.5999035699133,138.78125348165804,149.4277636583809,34255600
2020-03-18,145.68069458007812,146.8900603543709,135.9065269708406,138.53345221468916,37553100
2020-03-19,151.79698181152344,158.53777453936144,143.53949408136737,145.3436428023484,39862300
2020-03-20,148.42657470703125,157.88353611358346,146.71163883964718,154.66182782825337,32568400
2020-03-23,146.81080627441406,150.98415005872428,141.01172405042632,148.3572241672208,29830800
2020-03-24,159.57862854003906,159.9057576306904,151.24185098346032,153.85886858271328,30440400
2020-03-25,154.8501739501953,161.57115177000506,151.7275861217966,157.53657450192858,35184300
2020-03-26,161.91807556152344,162.57233370544577,155.6531008110551,156.872389078578,26556800
2020-03-27,155.42514038085938,158.69641698995204,153.40290518441685,156.8228699969385,24879900
2020-03-30,164.50538635253906,165.2984253012151,156.68407016221562,157.79431561478617,22515200
2020-03-31,165.34800720214844,169.44204522135595,162.77063418018074,164.03949055611406,23676300
2020-04-01,158.21067810058594,162.72105796616114,156.66424529203292,160.21308298396346,19507600
2020-04-02,156.81295776367188,159.9454535797899,154.56271388854063,157.71503983983848,20886300
