Date,Adj Close_DIS,Close_DIS,High_DIS,Low_DIS,Open_DIS,Volume_DIS
2020-01-02,143.68927001953125,148.1999969482422,148.1999969482422,145.10000610351562,145.2899932861328,9502100
2020-01-03,142.041015625,146.5,147.89999389648438,146.0500030517578,146.39999389648438,7320200
2020-01-06,141.2168731689453,145.64999389648438,146.02999877929688,144.30999755859375,145.5399932861328,8262500
2020-01-07,141.26535034179688,145.6999969482422,146.8699951171875,145.4199981689453,145.99000549316406,6906500
2020-01-08,140.97447204589844,145.39999389648438,146.1300048828125,144.82000732421875,145.49000549316406,6984200
2020-01-09,140.4218292236328,144.8300018310547,146.6300048828125,144.61000061035156,146.47000122070312,6664200
2020-01-10,140.21823120117188,144.6199951171875,145.5,144.25999450683594,145.3000030517578,5152500
2020-01-13,139.50076293945312,143.8800048828125,144.75,143.36000061035156,144.75,9921300
2020-01-14,140.78057861328125,145.1999969482422,146.72000122070312,142.2899932861328,143.41000366210938,14839100
2020-01-15,139.92735290527344,144.32000732421875,145.7100067138672,143.92999267578125,145.7100067138672,6818200
2020-01-16,140.70301818847656,145.1199951171875,145.42999267578125,144.44000244140625,145.08999633789062,6948400
2020-01-17,139.9370574951172,144.3300018310547,145.63999938964844,144.00999450683594,145.5399932861328,10355300
2020-01-21,139.19049072265625,143.55999755859375,144.58999633789062,143.00999450683594,144.24000549316406,9250200
2020-01-22,139.62680053710938,144.00999450683594,144.7899932861328,143.5399932861328,144.4499969482422,7550000
2020-01-23,137.87188720703125,142.1999969482422,143.61000061035156,140.64999389648438,143.60000610351562,11082000
2020-01-24,135.81642150878906,140.0800018310547,142.25,139.1999969482422,141.39999389648438,13076300
2020-01-27,131.76364135742188,135.89999389648438,137.72999572753906,135.0,135.86000061035156,12831800
2020-01-28,134.15846252441406,138.3699951171875,138.92999267578125,135.86000061035156,136.5,10390000
2020-01-29,131.91876220703125,136.05999755859375,138.67999267578125,135.7899932861328,138.60000610351562,9382700
2020-01-30,133.61550903320312,137.80999755859375,137.85000610351562,134.8300018310547,135.08999633789062,11847300
2020-01-31,134.10028076171875,138.30999755859375,138.6699981689453,137.05999755859375,138.39999389648438,12379100
2020-02-03,137.0186767578125,141.32000732421875,141.82000732421875,139.75,139.7899932861328,12639900
2020-02-04,140.3248748779297,144.72999572753906,145.58999633789062,143.25,145.49000549316406,23519700
2020-02-05,137.06715393066406,141.3699951171875,147.3000030517578,138.57000732421875,146.60000610351562,27824100
2020-02-06,138.35667419433594,142.6999969482422,143.9499969482422,141.22000122070312,141.9199981689453,9504600
2020-02-07,136.72779846191406,141.02000427246094,141.99000549316406,140.1199951171875,141.88999938964844,10948900
2020-02-10,138.25001525878906,142.58999633789062,142.58999633789062,140.4600067138672,141.02999877929688,8162100
2020-02-11,136.7180938720703,141.00999450683594,142.99000549316406,140.4600067138672,142.85000610351562,10790100
2020-02-12,137.5325469970703,141.85000610351562,142.22000122070312,140.8699951171875,141.33999633789062,8168200
2020-02-13,136.6114501953125,140.89999389648438,141.89999389648438,140.82000732421875,141.1699981689453,7543100
2020-02-14,135.2928466796875,139.5399932861328,141.27999877929688,139.1300048828125,141.10000610351562,9110500
2020-02-18,134.905029296875,139.13999938964844,139.66000366210938,138.10000610351562,139.02000427246094,8214900
2020-02-19,136.999267578125,141.3000030517578,141.8699951171875,139.22999572753906,139.6300048828125,7080900
2020-02-20,136.0975799560547,140.3699951171875,141.6300048828125,138.85000610351562,141.6300048828125,5981700
2020-02-21,134.74020385742188,138.97000122070312,139.8800048828125,138.5800018310547,139.86000061035156,7725800
2020-02-24,128.96160888671875,133.00999450683594,134.44000244140625,131.2100067138672,132.89999389648438,19336500
2020-02-25,124.2883071899414,128.19000244140625,133.94000244140625,127.9800033569336,133.75,21032500
2020-02-26,119.60531616210938,123.36000061035156,128.3699951171875,122.12999725341797,126.12000274658203,31195900
2020-02-27,114.4472427368164,118.04000091552734,122.9000015258789,117.91999816894531,119.80999755859375,30827500
2020-02-28,114.0691146850586,117.6500015258789,118.30999755859375,113.20999908447266,114.51000213623047,35389900
2020-03-02,116.32818603515625,119.9800033569336,119.9800033569336,116.02999877929688,119.12999725341797,21775900
2020-03-03,112.90563201904297,116.44999694824219,121.77999877929688,115.1500015258789,121.1500015258789,19529700
2020-03-04,115.55254364013672,119.18000030517578,119.23999786376953,115.4800033569336,118.95999908447266,13842100
2020-03-05,110.51081848144531,113.9800033569336,116.95999908447266,112.11000061035156,116.86000061035156,22397200
2020-03-06,111.76155090332031,115.2699966430664,115.87000274658203,110.31999969482422,110.76000213623047,22899600
2020-03-09,101.17391967773438,104.3499984741211,110.43000030517578,104.27999877929688,108.69000244140625,26233600
2020-03-10,108.06751251220703,111.45999908447266,111.58000183105469,102.43000030517578,108.0999984741211,24083700
2020-03-11,102.29861450195312,105.51000213623047,108.9000015258789,102.86000061035156,108.41999816894531,24771300
2020-03-12,89.01558685302734,91.80999755859375,100.0,91.63999938964844,97.62000274658203,40392900
2020-03-13,99.39961242675781,102.5199966430664,102.87000274658203,92.25,100.77999877929688,40960100
