Date,Close,High,Low,Open,Volume
2020-01-02,296.12530517578125,296.1435533670269,293.9923531023892,294.9129966046256,59151200
2020-01-03,293.88299560546875,295.0041745676097,292.68890732538284,292.74359626818324,77709700
2020-01-06,295.0042419433594,295.0862753762955,292.01443069480985,292.1329327037308,55653900
2020-01-07,294.1747131347656,294.9130417417363,293.7280496413541,294.43903377463585,40496400
2020-01-08,295.74249267578125,296.95480128822834,294.1199891894408,294.3660894233574,68296000
2020-01-09,297.7478332519531,297.82077038824355,296.71781178644477,297.30119760730037,48473300
2020-01-10,296.89093017578125,298.48608887965315,296.42607426931494,298.3311461832845,53029300
2020-01-13,298.9328308105469,298.94192708972656,297.0824473403548,297.51086261756024,47086800
2020-01-14,298.47705078125,299.54351294484616,297.92100945963375,298.4952711557389,62832800
2020-01-15,299.1515808105469,299.9081297404282,298.30387436905687,298.3859077842946,72056600
2020-01-16,301.6400146484375,301.6400146484375,300.30008000636747,300.52795985830204,54050300
2020-01-17,302.578857421875,302.7884890679203,301.5761805798231,302.35097758583424,95846000
2020-01-21,301.9862365722656,302.78837775100857,301.5487252510259,301.621634532115,77742400
2020-01-22,302.02276611328125,303.4903264792452,301.8678234281699,302.8431278236257,48914900
2020-01-23,302.36920166015625,302.77939649699647,300.2635941747511,301.3756489009387,51963000
2020-01-24,299.68011474609375,303.10743535217887,298.39486951881184,303.02540197392955,87578400
2020-01-27,294.8765563964844,296.3532135264237,294.1108833593813,294.4481411214826,84062500
2020-01-28,297.966552734375,298.8416034600196,294.96764649476006,296.2984568633764,63834000
2020-01-29,297.72039794921875,299.55256045074896,297.5198626116515,299.324680649757,53888900
2020-01-30,298.6866760253906,298.89633550564963,294.9130001022843,295.66042488337473,75491800
2020-01-31,293.2630920410156,298.22175888029057,292.3515728105219,298.06678837146853,113845600
2020-02-03,295.4416809082031,297.3011883827756,294.62131896327486,294.7398209430448,69083000
2020-02-04,299.944580078125,300.8105346597248,298.7231473854342,299.0421847479902,62573200
2020-02-05,303.4083251953125,303.6179846653886,301.41212336008243,302.870532103236,65951100
2020-02-06,304.4292907714844,304.62070207645655,303.35367662683126,304.3654777307045,50359700
2020-02-07,302.8067626953125,304.4383624299263,302.2598454793981,303.37190028539015,64139400
2020-02-10,305.0672912597656,305.1311042908256,301.886097610239,301.92256617332515,42070000
2020-02-11,305.5960388183594,307.2002942348692,305.0673419265735,306.4164008111858,54864500
2020-02-12,307.5649108886719,307.7745425630313,306.66248770025715,307.02708992369514,43992700
